scenario,ev_background_load_mbps,traffic_class,pdr,deadline_violation_rate,deadline_penalized_mean_ms,mean_delay_ms,delay_p95_ms,throughput_mbps
baseline,22.0,DIAG_TOTAL,"0.957 [0.898, 1.000]","0.087 [0.027, 0.158]","65.02 [23.09, 118.8]","189.1 [23.65, 456.4]","282.1 [51.25, 638.3]","0.089 [0.084, 0.093]"
baseline,22.0,EV_BACKGROUND_TOTAL,"0.980 [0.946, 1.000]","0.000 [0.000, 0.000]","122.0 [23.55, 246.0]","229.0 [23.54, 548.7]","282.5 [51.61, 621.4]","22.02 [21.20, 22.50]"
baseline,22.0,FAULT_TOTAL,"0.977 [0.939, 1.000]","0.140 [0.060, 0.240]","128.5 [29.02, 253.8]","257.2 [34.93, 604.9]","282.5 [51.74, 623.1]","0.843 [0.808, 0.866]"
baseline,22.0,TOTAL,"0.974 [0.936, 1.000]","0.130 [0.054, 0.226]","121.7 [32.89, 239.3]","250.7 [27.37, 597.5]","281.3 [50.33, 627.4]","0.962 [0.921, 0.990]"
baseline,23.0,ALERT_TOTAL,"0.990 [0.973, 1.000]","0.140 [0.060, 0.240]","246.7 [74.37, 478.7]","305.3 [74.43, 654.9]","352.3 [92.69, 707.0]","0.030 [0.029, 0.031]"
baseline,23.0,DIAG_TOTAL,"0.932 [0.873, 0.979]","0.113 [0.044, 0.196]","101.4 [41.78, 176.5]","244.4 [61.08, 528.5]","382.4 [115.7, 742.9]","0.087 [0.081, 0.091]"
baseline,23.0,EV_BACKGROUND_TOTAL,"0.977 [0.941, 0.999]","0.000 [0.000, 0.000]","188.2 [68.50, 323.0]","301.2 [72.69, 632.9]","382.6 [117.8, 756.0]","22.91 [22.05, 23.46]"
baseline,23.0,FAULT_TOTAL,"0.973 [0.934, 0.998]","0.157 [0.060, 0.260]","211.3 [86.04, 365.0]","346.3 [88.31, 707.2]","382.6 [115.6, 740.4]","0.838 [0.802, 0.862]"
baseline,23.0,TOTAL,"0.968 [0.929, 0.994]","0.150 [0.059, 0.248]","196.0 [78.19, 338.1]","334.5 [93.98, 684.9]","380.9 [116.9, 748.1]","0.954 [0.913, 0.984]"
baseline,24.0,ALERT_TOTAL,"0.988 [0.971, 0.999]","0.160 [0.060, 0.260]","313.8 [108.5, 572.6]","373.4 [116.8, 730.7]","396.8 [129.6, 760.5]","0.030 [0.029, 0.031]"
baseline,24.0,DIAG_TOTAL,"0.916 [0.851, 0.973]","0.135 [0.053, 0.227]","117.6 [49.35, 194.8]","282.2 [83.24, 574.2]","410.9 [141.6, 784.3]","0.085 [0.079, 0.091]"
baseline,24.0,EV_BACKGROUND_TOTAL,"0.973 [0.935, 0.996]","0.000 [0.000, 0.000]","221.1 [90.96, 372.7]","343.4 [108.4, 677.2]","411.0 [143.7, 777.0]","23.78 [22.86, 24.40]"
baseline,24.0,FAULT_TOTAL,"0.966 [0.929, 0.992]","0.160 [0.060, 0.260]","248.5 [102.3, 418.2]","394.2 [127.5, 760.1]","408.9 [141.6, 774.5]","0.831 [0.796, 0.857]"
baseline,24.0,TOTAL,"0.960 [0.920, 0.989]","0.156 [0.059, 0.255]","231.4 [93.22, 386.7]","383.8 [122.2, 741.1]","408.5 [141.2, 764.4]","0.947 [0.904, 0.978]"
baseline,24.5,ALERT_TOTAL,"0.988 [0.972, 0.998]","0.160 [0.060, 0.260]","335.4 [126.3, 602.0]","395.1 [128.7, 755.2]","411.8 [148.0, 789.8]","0.030 [0.029, 0.031]"
baseline,24.5,DIAG_TOTAL,"0.899 [0.825, 0.961]","0.140 [0.054, 0.231]","107.8 [45.22, 176.6]","285.5 [90.78, 564.6]","417.2 [149.8, 788.0]","0.084 [0.077, 0.090]"
baseline,24.5,EV_BACKGROUND_TOTAL,"0.970 [0.934, 0.994]","0.000 [0.000, 0.000]","232.3 [95.58, 388.5]","359.4 [116.2, 695.2]","417.3 [149.8, 774.1]","24.22 [23.25, 24.87]"
baseline,24.5,FAULT_TOTAL,"0.960 [0.918, 0.989]","0.210 [0.105, 0.325]","249.1 [99.25, 408.9]","408.7 [141.1, 781.1]","417.4 [150.6, 790.8]","0.826 [0.788, 0.855]"
baseline,24.5,TOTAL,"0.952 [0.909, 0.984]","0.196 [0.097, 0.308]","231.5 [93.90, 382.1]","398.5 [138.3, 756.9]","417.0 [150.2, 779.9]","0.940 [0.895, 0.974]"
baseline,25.0,ALERT_TOTAL,"0.987 [0.971, 0.998]","0.198 [0.100, 0.311]","353.6 [138.7, 619.3]","414.2 [143.2, 780.9]","433.6 [164.6, 796.9]","0.030 [0.029, 0.031]"
baseline,25.0,DIAG_TOTAL,"0.890 [0.814, 0.957]","0.167 [0.080, 0.265]","117.3 [59.17, 183.0]","303.5 [106.4, 586.6]","450.9 [181.6, 811.8]","0.083 [0.076, 0.089]"
baseline,25.0,EV_BACKGROUND_TOTAL,"0.968 [0.930, 0.993]","0.000 [0.000, 0.000]","250.2 [110.9, 406.1]","382.4 [138.8, 716.7]","451.1 [177.7, 808.0]","24.64 [23.66, 25.33]"
baseline,25.0,FAULT_TOTAL,"0.957 [0.916, 0.987]","0.220 [0.119, 0.339]","264.3 [120.3, 425.3]","431.3 [159.4, 794.8]","450.8 [174.8, 822.1]","0.822 [0.784, 0.852]"
baseline,25.0,TOTAL,"0.948 [0.905, 0.982]","0.210 [0.110, 0.325]","246.0 [113.9, 399.6]","421.1 [155.3, 781.6]","449.9 [175.8, 814.5]","0.935 [0.888, 0.971]"
