scenario,ev_background_load_mbps,traffic_class,n_seeds,qfi,five_qi,rule_precedence,latency_deadline_ms,pdr_target,pdr_mean,pdr_ci_low,pdr_ci_high,pdr_sd,deadline_violation_rate_mean,deadline_violation_rate_ci_low,deadline_violation_rate_ci_high,deadline_violation_rate_sd,deadline_penalized_mean_ms_mean,deadline_penalized_mean_ms_ci_low,deadline_penalized_mean_ms_ci_high,deadline_penalized_mean_ms_sd,mean_delay_ms_mean,mean_delay_ms_ci_low,mean_delay_ms_ci_high,mean_delay_ms_sd,delay_p95_ms_mean,delay_p95_ms_ci_low,delay_p95_ms_ci_high,delay_p95_ms_sd,throughput_mbps_mean,throughput_mbps_ci_low,throughput_mbps_ci_high,throughput_mbps_sd
baseline,27.0,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.9795668000000001,0.9602953,0.9935349000000001,0.061533020149297714,0.6922234,0.6382572999999999,0.75189124,0.20412752281435873,527.6299300000001,310.937996,784.88258,849.6988153707354,606.86733,331.6708719999999,958.6290740000003,1171.6047028694338,721.98,446.99,1072.51,1155.1081767964597,0.029234239999999998,0.028342912,0.029954368000000002,0.002939511441011369
baseline,27.0,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.8068667,0.7150666800000002,0.8905000599999999,0.3230127485813076,0.322000018,0.23360001200000002,0.41660000799999997,0.3417553224636834,243.84326000000001,196.37946,295.55026000000004,179.89494146111605,472.78706,280.25134,747.06396,868.2190312519872,850.65,589.02,1192.94,1114.1590770529997,0.07588468920000001,0.067257282,0.08360364799999999,0.029750705415127032
baseline,27.0,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.9547635200000001,0.9157690600000001,0.98377194,0.1272370674679613,0.0,0.0,0.0,0.0,463.74754,323.69611999999995,608.54772,527.5238259370602,619.52672,370.18288,947.0405599999999,1065.1128856570533,857.07,590.46,1193.94,1117.9751364472672,26.1305164,24.9875268,26.98107999999999,3.6602496250630954
baseline,27.0,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.9398004799999999,0.89634212,0.97341558,0.14002549846589385,0.99073644,0.98909212,0.99249414,0.006207564201251001,529.36842,384.7283,686.1405,547.4935920065254,723.77242,451.2581600000001,1078.40626,1150.165126375199,860.51,595.46,1201.94,1116.3514973852482,0.7966738,0.75745488,0.8282791,0.1307474088605778
baseline,27.0,TOTAL,50,-1,AGGREGATE,0,0,0,0.92098046,0.87484494,0.9602263600000001,0.1584024435366321,0.8693552,0.8509435999999999,0.8888625,0.06945493620605922,484.37345999999997,352.48128,621.96116,500.260217560748,697.50886,429.7027200000001,1043.22444,1134.797169612046,851.7366400000001,590.8940600000001,1190.40528,1118.0214681580658,0.9017927400000001,0.8545148200000001,0.9419753799999999,0.16011149053589158
baseline,27.5,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.9770711799999999,0.95791708,0.9905116599999999,0.06082974413641432,0.7722724599999999,0.73185846,0.81437984,0.15147017067466667,636.50056,424.16852,878.16102,831.4641380480374,718.5853599999999,445.9782400000001,1085.4602999999997,1150.6416383154467,927.93,676.43,1258.68,1083.8425866577957,0.028850387999999998,0.027993102,0.029555072000000005,0.002833348496516128
baseline,27.5,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.78919998,0.69503328,0.8789999800000001,0.33677095524094347,0.61156674,0.56680004,0.65973344,0.17128446950468817,411.62742,392.77395999999993,434.5355399999999,76.13067271879264,659.27452,486.44295999999997,918.9009800000001,813.958440462818,1246.02,1041.82,1550.13,942.5790077316205,0.0732650552,0.06467243760000001,0.0812991832,0.0304364961808672
baseline,27.5,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.95030714,0.9095916399999999,0.97972678,0.12968796167709473,0.0,0.0,0.0,0.0,646.3354,534.07164,768.5155199999999,429.4773651744451,809.6677999999999,582.35822,1121.00356,996.3984156468899,1248.0,1044.95,1546.25,943.4428010629744,26.256988200000002,25.0971908,27.127544000000004,3.7064374952873824
baseline,27.5,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.93228084,0.88821074,0.96738838,0.14423913292499185,0.9966806800000001,0.9960912000000001,0.99732476,0.0022288510853837496,726.96742,615.04362,846.56044,428.25408254975724,935.5938199999999,688.8096,1264.5815400000001,1069.3975604676068,1221.59,1010.39,1518.21,954.1133636063614,0.77998212,0.74053772,0.81139238,0.1293876548648049
baseline,27.5,TOTAL,50,-1,AGGREGATE,0,0,0,0.91212908,0.86458628,0.9524237799999998,0.16370514301519706,0.92398872,0.91430036,0.9343394799999999,0.03669188018390722,672.55716,568.97134,783.3301200000002,387.94257667894664,901.07156,653.0526800000001,1222.10398,1059.0719162697844,1209.95708,995.89736,1511.9433600000002,958.6750393439776,0.8820975,0.8356446200000001,0.92213972,0.15891281259825388
