ev_background_load_mbps,traffic_class,n_pairs,metric,baseline_mean,qos_aware_mean,paired_effect_mean,paired_effect_ci_low,paired_effect_ci_high,paired_effect_sd,effect_definition
24.5,FAULT_TOTAL,50,deadline_violation_reduction,0.20957076,6.0086139999999997e-05,0.20951067386,0.10500269934,0.3252210413,0.4006546122163791,baseline deadline-violation rate - QoS-aware deadline-violation rate
24.5,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,249.0574184,3.0656617999999995,245.9917566,95.48464179999999,406.54715039999996,564.0885384614237,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
25.0,ALERT_TOTAL,50,pdr_gain,0.9874331,1.0,0.012566899999999997,0.0024059399999999975,0.028838239999999998,0.051452494004029514,QoS-aware PDR - baseline PDR
25.0,ALERT_TOTAL,50,deadline_violation_reduction,0.19841038,0.0,0.19841038,0.09352942,0.30988096,0.38500263703199145,baseline deadline-violation rate - QoS-aware deadline-violation rate
25.0,ALERT_TOTAL,50,deadline_penalized_delay_reduction_ms,353.59470739999995,2.9342106,350.6604968,132.8222848,622.856505,882.3940175893298,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
25.0,DIAG_TOTAL,50,pdr_gain,0.8901000139999999,0.889033314,-0.0010667000000000012,-0.0031667000000000006,0.0005666199999999999,0.007028934047701599,QoS-aware PDR - baseline PDR
25.0,DIAG_TOTAL,50,deadline_violation_reduction,0.16746668,0.17093332,-0.0034666399999999996,-0.007933319999999999,3.335999999999784e-05,0.014189552799269792,baseline deadline-violation rate - QoS-aware deadline-violation rate
25.0,DIAG_TOTAL,50,deadline_penalized_delay_reduction_ms,117.2803168,119.1619868,-1.881669999999998,-9.281234399999995,7.368739800000002,30.497985790105176,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
25.0,FAULT_TOTAL,50,pdr_gain,0.95670276,1.0,0.043297239999999994,0.01312658,0.08425629999999998,0.13137420276626546,QoS-aware PDR - baseline PDR
25.0,FAULT_TOTAL,50,deadline_violation_reduction,0.21952712,6.002540000000001e-05,0.21946709460000002,0.11943343476000001,0.33927390964,0.4175716372952688,baseline deadline-violation rate - QoS-aware deadline-violation rate
25.0,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,264.278851,3.0578106000000003,261.2210404,121.0071362,423.84165800000005,554.1973435036327,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
25.5,ALERT_TOTAL,50,pdr_gain,0.98487476,1.0,0.01512524,0.003560860000000001,0.03249808,0.055390025003977245,QoS-aware PDR - baseline PDR
